[2021-07-11 01:33:51.95 #74 INFO] root running /mnt/storage/canada-srm2/ebRisk/SensitivityTesting/ebRisk_b0_SensTest_Montreal_48.ini [--hc=None]
[2021-07-11 01:33:51.95 #74 INFO] Using engine version 3.11.3-git29ac352f7d
[2021-07-11 01:33:52.35 #74 WARNING] Using 96 cores on ip-10-70-136-127
[2021-07-11 01:33:52.37 #74 INFO] Validated nationalModel.xml in 0.01 seconds
[2021-07-11 01:33:52.44 #74 INFO] Checksum of the input files: 2947178073
[2021-07-11 01:33:52.45 #74 INFO] Reading the risk model if present
[2021-07-11 01:34:14.62 #74 INFO] Reading /mnt/storage/canada-srm2/ebRisk/SensitivityTesting/TESTEXPO_Montreal.xml
[2021-07-11 01:34:14.64 #74 INFO] Extracting the hazard sites from the site model
[2021-07-11 01:34:17.76 #74 INFO] Associated 185 assets to 5 sites
[2021-07-11 01:34:18.19 #74 INFO] Reducing risk model from 7260 to 107 taxonomies
[2021-07-11 01:34:19.39 #74 INFO] minimum_asset_loss={'contents': 0, 'nonstructural': 0, 'occupants': 0, 'structural': 0}
[2021-07-11 01:34:19.40 #74 INFO] Storing 6 aggregation keys
[2021-07-11 01:34:19.47 #74 INFO] Total number of logic tree paths = 24_576
[2021-07-11 01:34:19.48 #74 INFO] Reading the source model(s) in parallel
[2021-07-11 01:34:21.95 #74 INFO] read_source_model  16% [6 submitted, 0 queued]
[2021-07-11 01:34:22.31 #74 INFO] read_source_model  33% [6 submitted, 0 queued]
[2021-07-11 01:34:22.33 #74 INFO] read_source_model  50% [6 submitted, 0 queued]
[2021-07-11 01:34:22.34 #74 INFO] read_source_model  66% [6 submitted, 0 queued]
[2021-07-11 01:34:22.35 #74 INFO] read_source_model  83% [6 submitted, 0 queued]
[2021-07-11 01:34:22.37 #74 INFO] read_source_model 100% [6 submitted, 0 queued]
[2021-07-11 01:34:22.37 #74 INFO] Mean time per core=0s, std=0.0s, min=0s, max=0s
[2021-07-11 01:34:22.38 #74 INFO] Received {'/mnt/storage/CanadaSHM6/OpenQuake_model_files/sources/nationalModel/xml/simplifiedModel/WCan_HYeast_Harctic_simplified_collapsedRates.xml': '138.71 KB', '/mnt/storage/CanadaSHM6/OpenQuake_model_files/sources/nationalModel/xml/simplifiedModel/WCan_H2east_Harctic_simplified_collapsedRates.xml': '133.09 KB', '/mnt/storage/CanadaSHM6/OpenQuake_model_files/sources/nationalModel/xml/simplifiedModel/WCan_HYeast_Rarctic_simplified_collapsedRates.xml': '132.34 KB', '/mnt/storage/CanadaSHM6/OpenQuake_model_files/sources/nationalModel/xml/simplifiedModel/WCan_H2east_Rarctic_simplified_collapsedRates.xml': '126.71 KB', '/mnt/storage/CanadaSHM6/OpenQuake_model_files/sources/nationalModel/xml/simplifiedModel/WCan_R2east_Harctic_simplified_collapsedRates.xml': '117.99 KB', '/mnt/storage/CanadaSHM6/OpenQuake_model_files/sources/nationalModel/xml/simplifiedModel/WCan_R2east_Rarctic_simplified_collapsedRates.xml': '111.84 KB'} in 1 seconds
[2021-07-11 01:34:22.64 #74 INFO] There are multiple different sources with the same ID [<AreaSource SCCYA;0>, <AreaSource SCCYA;1>]
[2021-07-11 01:34:22.65 #74 INFO] There are 13 groups and 196 sources with len(et_ids)=3.85
[2021-07-11 01:34:22.67 #74 INFO] Checking the sources bounding box
[2021-07-11 01:34:22.69 #74 ERROR] source ACM: The buffer of 600 km is too large, the bounding box is larger than half the globe: 219 degrees
[2021-07-11 01:34:22.80 #74 INFO] Rupture floating factor = 1.6303030303030304
[2021-07-11 01:34:22.81 #74 INFO] Rupture spinning factor = 3.278787878787879
[2021-07-11 01:34:22.81 #74 INFO] gzipping the input files
[2021-07-11 01:34:26.81 #74 INFO] Storing risk model
[2021-07-11 01:34:26.88 #74 INFO] minimum_intensity={'default': 0.1, 'SA(0.3)': 0.1, 'SA(0.6)': 0.05, 'SA(1.0)': 0.05, 'SA(2.0)': 0.05}
[2021-07-11 01:34:27.28 #74 INFO] Building ruptures
[2021-07-11 01:36:03.26 #74 INFO] Sending <SourceGroup Subduction IntraSlab30, 1 source(s)>
[2021-07-11 01:36:03.26 #74 INFO] Sending <SourceGroup Subduction IntraSlab55, 4 source(s)>
[2021-07-11 01:36:03.27 #74 INFO] Sending <SourceGroup Subduction Interface, 13 source(s)>
[2021-07-11 01:36:03.27 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 29 source(s)>
[2021-07-11 01:36:03.28 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 4 source(s)>
[2021-07-11 01:36:03.28 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 6 source(s)>
[2021-07-11 01:36:03.29 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 18 source(s)>
[2021-07-11 01:36:03.29 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 10 source(s)>
[2021-07-11 01:36:03.30 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 38 source(s)>
[2021-07-11 01:36:03.30 #74 INFO] Sending <SourceGroup Stable Shallow Crust, 14 source(s)>
