[2020-10-26 18:37:09 #1354 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_ON3540.ini [--hc=1316]
[2020-10-26 18:37:09 #1354 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:37:10 #1354 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:37:10 #1354 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:37:10 #1354 INFO] Reading the risk model if present
[2020-10-26 18:37:13 #1354 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_ON3540.xml
[2020-10-26 18:37:21 #1354 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:37:22 #1354 INFO] Associated 81335 assets to 145 sites
[2020-10-26 18:37:26 #1354 INFO] Reducing risk model from 4224 to 490 taxonomies
[2020-10-26 18:37:26 #1354 INFO] Storing risk model
[2020-10-26 18:37:27 #1354 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:37:28 #1354 INFO] Built 177 risk inputs
[2020-10-26 18:37:31 #1354 INFO] Sent 122 tasks, 18.41 MB in 0 seconds
[2020-10-26 18:37:39 #1354 INFO] classical_damage   1% [122 submitted, 0 queued]
[2020-10-26 18:37:39 #1354 INFO] classical_damage   2% [122 submitted, 0 queued]
[2020-10-26 18:37:39 #1354 INFO] classical_damage   3% [122 submitted, 0 queued]
[2020-10-26 18:37:40 #1354 INFO] classical_damage   4% [122 submitted, 0 queued]
[2020-10-26 18:37:40 #1354 INFO] classical_damage   5% [122 submitted, 0 queued]
[2020-10-26 18:37:40 #1354 INFO] classical_damage   6% [122 submitted, 0 queued]
[2020-10-26 18:37:40 #1354 INFO] classical_damage   7% [122 submitted, 0 queued]
[2020-10-26 18:37:40 #1354 INFO] classical_damage   8% [122 submitted, 0 queued]
[2020-10-26 18:37:40 #1354 INFO] classical_damage   9% [122 submitted, 0 queued]
[2020-10-26 18:37:41 #1354 INFO] classical_damage  10% [122 submitted, 0 queued]
[2020-10-26 18:37:41 #1354 INFO] classical_damage  11% [122 submitted, 0 queued]
[2020-10-26 18:37:41 #1354 INFO] classical_damage  12% [122 submitted, 0 queued]
[2020-10-26 18:37:41 #1354 INFO] classical_damage  13% [122 submitted, 0 queued]
[2020-10-26 18:37:42 #1354 INFO] classical_damage  14% [122 submitted, 0 queued]
[2020-10-26 18:37:42 #1354 INFO] classical_damage  15% [122 submitted, 0 queued]
[2020-10-26 18:37:42 #1354 INFO] classical_damage  16% [122 submitted, 0 queued]
[2020-10-26 18:37:42 #1354 INFO] classical_damage  17% [122 submitted, 0 queued]
